Code,Categorie,Nom fédération,Nom catégorie
"FED_260",2,"Fédération française de polo","Fédération unisport non olympique"
"FED_261",2,"Fédération française de kick boxing, muay thaï et disciplines associées","Fédération unisport non olympique"
"FED_263",2,"Fédération Française de double dutch","Fédération unisport non olympique"
"FED_264",2,"Fédération Flying Disc France","Fédération unisport non olympique"
"FED_265",2,"Fédération nautique de pêche sportive en apnée","Fédération unisport non olympique"
"FED_266",2,"Fédération de force","Fédération unisport non olympique"
"FED_267",2,"Fédération Française des pêches sportives","Fédération unisport non olympique"
"FED_401",4,"Fédération Française des clubs alpins et de montagne","Fédération multisports affinitaire"
"FED_402",4,"Fédération Française d'éducation physique et de gymnastique volontaire","Fédération multisports affinitaire"
"FED_403",4,"Fédération Française sports pour tous","Fédération multisports affinitaire"
"FED_404",4,"Fédération Française de la retraite sportive","Fédération multisports affinitaire"
"FED_405",4,"Fédération Française du sport travailliste","Fédération multisports affinitaire"
"FED_406",4,"Fédération des clubs de la Défense","Fédération multisports affinitaire"
"FED_407",4,"Fédération nationale du sport en milieu rural","Fédération multisports affinitaire"
"FED_408",4,"Fédération sportive et culturelle de France","Fédération multisports affinitaire"
"FED_409",4,"Fédération Française Maccabi","Fédération multisports affinitaire"
"FED_410",4,"Fédération sportive et gymnique du travail","Fédération multisports affinitaire"
"FED_411",4,"Fédération sportive de la Police Nationale","Fédération multisports affinitaire"
"FED_413",4,"Union Française des oeuvres laïques d'éducation physique (UFOLEP)","Fédération multisports affinitaire"
"FED_414",4,"Union nationale des centres sportifs de plein air (UCPA)","Fédération multisports affinitaire"
"FED_415",4,"Fédération Française omnsisports des personnels de l'éducation nationale et jeunesse et sports","Fédération multisports affinitaire"
"FED_417",4,"Union Nationale Sportive Léo Lagrange","Fédération multisports affinitaire"
"FED_418",4,"Fédération Française du sport d'entreprise","Fédération multisports affinitaire"
"FED_420",4,"Fédération sportive des ASPTT","Fédération multisports affinitaire"
"FED_421",4,"Fédération Française des sports populaires","Fédération multisports affinitaire"
"FED_501",5,"Fédération Française handisport","Fédération multisports sport et handicap"
"FED_503",5,"Fédération Française du sport adapté","Fédération multisports sport et handicap"
"FED_601",6,"Fédération française du sport universitaire","Fédération multisports scolaire ou universitaire"
"FED_602",6,"Fédération sportive éducative de l'enseignement catholique (UGSEL)","Fédération multisports scolaire ou universitaire"
"FED_603",6,"Union nationale des clubs universitaires","Fédération multisports scolaire ou universitaire"
"FED_604",6,"Union nationale du sport scolaire (UNSS)","Fédération multisports scolaire ou universitaire"
"FED_605",6,"Union sportive de l'enseignement du premier degré","Fédération multisports scolaire ou universitaire"
